Kline open time,Open price,high,low,close,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,timestamp,short_ma,long_ma,rsi,macd,macd_signal,bb_upper,bb_middle,bb_lower,atr
2024-12-07 20:00:00-03:00,612716.0,616999.0,612617.0,615826.0,35.87729,2024-12-07 23:59:59.999000-03:00,22048101.05988,7908,17.77189,10923604.76046,2024-12-07 20:00:00-03:00,612011.2857142857,605631.2857142857,61.78056968209991,6604.5993919707835,6118.434662425438,617166.9813375762,612687.4,608207.8186624239,9671.83512164308
2024-12-08 00:00:00-03:00,615962.0,616616.0,610137.0,612483.0,17.8114,2024-12-08 03:59:59.999000-03:00,10939441.04432,3321,7.79333,4786796.62901,2024-12-08 00:00:00-03:00,612094.5714285715,607002.5714285715,58.41548614996312,6366.499628013815,6168.047655543113,616735.6151556091,613221.4,609707.184844391,9443.775470097145
2024-12-08 04:00:00-03:00,612699.0,613546.0,606800.0,610186.0,23.99024,2024-12-08 07:59:59.999000-03:00,14623681.06018,3609,8.66286,5282642.31946,2024-12-08 04:00:00-03:00,612300.8571428572,607803.619047619,56.15229741729348,5924.165059352177,6119.271136304926,616932.4049504212,613122.6,609312.7950495788,9251.077222233063
2024-12-08 08:00:00-03:00,610000.0,617896.0,609263.0,613449.0,48.48766,2024-12-08 11:59:59.999000-03:00,29814154.49951,8585,22.63609,13921208.71915,2024-12-08 08:00:00-03:00,612820.2857142857,607969.619047619,58.60572807149237,5770.391080379719,6049.4951251198845,616557.6086937096,612932.0,609306.3913062904,9206.928849216416
2024-12-08 12:00:00-03:00,613487.0,616205.0,611341.0,613370.0,49.33219,2024-12-08 15:59:59.999000-03:00,30289658.96008,8265,25.94837,15935119.48889,2024-12-08 12:00:00-03:00,613204.5714285715,608130.7619047619,58.52035349042046,5577.851454912568,5955.166391078421,616694.9831231355,613062.8,609430.6168768646,8896.719645700958
2024-12-08 16:00:00-03:00,613370.0,616504.0,612081.0,616287.0,26.18431,2024-12-08 19:59:59.999000-03:00,16099746.01715,5551,14.52435,8930530.6962,2024-12-08 16:00:00-03:00,613473.8571428572,608250.8571428572,60.791587090139174,5596.131218949216,5883.35935665258,617075.0642851872,613155.0,609234.9357148128,8577.168242436604
2024-12-08 20:00:00-03:00,616237.0,621429.0,609701.0,610137.0,65.85186,2024-12-08 23:59:59.999000-03:00,40514534.43374,10370,29.90414,18404630.12711,2024-12-08 20:00:00-03:00,613105.4285714285,607769.4285714285,54.069522764380515,5056.081105656689,5717.903706453401,617313.077973031,612685.8,608058.5220269691,8802.227653691132
2024-12-09 00:00:00-03:00,610047.0,612399.0,606344.0,609351.0,21.14995,2024-12-09 03:59:59.999000-03:00,12896052.60181,3839,8.43948,5149060.875,2024-12-09 00:00:00-03:00,612180.4285714285,608033.9523809524,53.258964911517936,4512.644907428534,5476.851946648428,617538.5269088813,612518.8,607499.0730911188,8605.997106998908
2024-12-09 04:00:00-03:00,609277.0,613323.0,599068.0,607040.0,57.30125,2024-12-09 07:59:59.999000-03:00,34792266.85701,8239,22.39421,13607855.02869,2024-12-09 04:00:00-03:00,611402.8571428572,609029.619047619,50.84547295624288,3851.0963771081297,5151.700832740368,617713.6654383218,611237.0,604760.3345616782,9009.497313641843
2024-12-09 08:00:00-03:00,606939.0,610000.0,597543.0,608757.0,79.36075,2024-12-09 11:59:59.999000-03:00,47871405.13921,14036,37.66916,22724925.39604,2024-12-09 08:00:00-03:00,611198.7142857143,609853.380952381,52.56537471695759,3425.870646776166,4806.534795547528,616624.9468035438,610314.4,604003.8531964562,9255.747505524569
2024-12-09 12:00:00-03:00,608981.0,610500.0,594660.0,598238.0,78.78179,2024-12-09 15:59:59.999000-03:00,47229785.60755,14012,40.80149,24478152.71044,2024-12-09 12:00:00-03:00,609025.7142857143,610078.5714285715,42.70658123729928,2214.552816495765,4288.138399737176,615412.8929303056,606704.6,597996.3070696944,9726.051255129956
2024-12-09 16:00:00-03:00,598308.0,599440.0,579747.0,595236.0,152.44101,2024-12-09 19:59:59.999000-03:00,90414986.96541,26258,76.78595,45556625.12771,2024-12-09 16:00:00-03:00,606435.1428571428,610074.7142857143,40.37902213261359,1000.8017777689965,3630.67107534354,615390.844640927,603724.4,592057.955359073,10437.976165477816
2024-12-09 20:00:00-03:00,595236.0,602953.0,593351.0,594310.0,51.65544,2024-12-09 23:59:59.999000-03:00,30948853.13677,11900,28.58611,17119227.64668,2024-12-09 20:00:00-03:00,603295.5714285715,609645.619047619,39.660972843710276,-35.41686257557012,2897.453487759718,612777.986826179,600716.2,588654.4131738209,10378.2635822294
2024-12-10 00:00:00-03:00,594200.0,598657.0,587712.0,598390.0,40.34947,2024-12-10 03:59:59.999000-03:00,23925280.91954,6918,20.91123,12401176.59078,2024-12-10 00:00:00-03:00,601617.4285714285,608761.9523809524,44.35612514127816,-521.3953772319946,2213.6837147613755,609274.6259942999,598986.2,588697.7740057,10418.7447549273
2024-12-10 04:00:00-03:00,598441.0,600848.0,595095.0,599885.0,26.27414,2024-12-10 07:59:59.999000-03:00,15737761.434,4486,11.49364,6885191.15511,2024-12-10 04:00:00-03:00,600265.1428571428,608152.2857142857,46.01380185828052,-776.9466878349194,1615.5576342421164,601398.5857647359,597211.8,593025.0142352642,10085.477272432492
2024-12-10 08:00:00-03:00,599827.0,601114.0,589578.0,594440.0,73.37775,2024-12-10 11:59:59.999000-03:00,43658944.07325,12865,31.64941,18838374.75007,2024-12-10 08:00:00-03:00,598465.1428571428,607320.8571428572,41.19967393762833,-1402.6698321780423,1011.9121409580846,600982.6566480858,596452.2,591921.7433519141,10189.086038687314
2024-12-10 12:00:00-03:00,594500.0,596567.0,575082.0,580000.0,169.06371,2024-12-10 15:59:59.999000-03:00,98362424.05677,27247,77.87669,45313925.40987,2024-12-10 12:00:00-03:00,594357.0,605952.1904761905,31.72128925374831,-3028.832753447816,203.76316207690445,607502.5146745801,593405.0,579307.4853254199,10995.937035923935
2024-12-10 16:00:00-03:00,579861.0,591692.0,579131.0,590399.0,64.49222,2024-12-10 19:59:59.999000-03:00,37838411.97371,12135,35.41853,20778287.33781,2024-12-10 16:00:00-03:00,593237.1428571428,605027.7142857143,42.05922684781028,-3438.825552124181,-524.7545807633127,606865.9099637665,592622.8,578379.6900362336,11107.727247643654
2024-12-10 20:00:00-03:00,590465.0,593932.0,583605.0,592868.0,37.78427,2024-12-10 23:59:59.999000-03:00,22250037.71363,9671,20.21533,11905833.00952,2024-12-10 20:00:00-03:00,592898.8571428572,604179.5238095238,44.218717288945385,-3523.898821148323,-1124.5834288403148,604611.4136240672,591518.4,578425.3863759328,11051.961015669107
2024-12-11 00:00:00-03:00,592811.0,595347.0,592298.0,594963.0,19.48385,2024-12-11 03:59:59.999000-03:00,11571316.52276,3113,10.7545,6387312.04484,2024-12-11 00:00:00-03:00,592992.1428571428,603253.8571428572,46.055925456621715,-3383.2707690031966,-1576.3208968728911,601535.9566986946,590534.0,579532.0433013054,10480.320943121314
2024-12-11 04:00:00-03:00,595067.0,599741.0,592406.0,598496.0,13.3056,2024-12-11 07:59:59.999000-03:00,7940542.57616,3219,7.30382,4359268.89736,2024-12-11 04:00:00-03:00,593007.2857142857,602576.7142857143,49.10050706826997,-2952.70154559589,-1851.5970266174909,603871.9775521213,591345.2,578818.4224478786,10255.655161469793
